fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density,year
1071,20874,TOTAL,6374,14083,417,53386,26224,27162,1212,24031.0,3.0,22247.0,1781.0,36312.0,18905.0,9255.0,52598.0,788.0,21173,2655.0,1720.0,3371.0,13427.0,8461,24923,6383,3581,10746,25793,4592,3607,3723,3416,11892,9731,4170,1894,1946,752,49167,24190,24977,1786,950,836,2433,1084,1349,1077.868,49.529255901464744,2008
1073,318524,TOTAL,166121,149921,2482,656912,310892,346020,22577,330602.0,752.0,301018.0,28832.0,45244.0,26529.0,99549.0,630177.0,26735.0,260441,23665.0,16726.0,32700.0,187350.0,171674,238213,79487,39126,70822,297549,132706,31640,17481,21701,144568,105246,47735,66979,49668,16059,358121,173117,185004,274357,124655,149702,24434,13120,11314,1111.276,591.1330758515436,2008
1075,7075,TOTAL,1614,5419,42,14743,7083,7660,174,6282.0,0.0,5669.0,613.0,33887.0,19789.0,2689.0,14707.0,36.0,5944,852.0,493.0,988.0,3611.0,2134,6887,1707,1215,2991,7401,987,1190,766,1035,2899,3060,1442,421,386,180,12824,6244,6580,1804,787,1017,115,52,63,604.846,24.374799535749595,2008
1077,38104,TOTAL,13329,24068,707,91762,43841,47921,1872,42674.0,23.0,38981.0,3670.0,39345.0,22341.0,15891.0,90071.0,1691.0,37713,4164.0,3500.0,5171.0,24878.0,18577,40570,9712,6600,12127,45811,13861,4538,3249,4340,21884,15695,8232,5640,5738,2483,80106,38455,41651,9395,4183,5212,2261,1203,1058,667.697,137.430601006145,2008
1079,14680,TOTAL,5164,9277,239,34235,16765,17470,598,15900.0,20.0,14473.0,1407.0,40516.0,19370.0,4630.0,33669.0,566.0,13412,1167.0,939.0,1977.0,9329.0,5824,16711,3218,1919,6467,17165,2536,2431,2242,1794,8168,6326,2671,1321,985,230,26727,13130,13597,3842,1877,1965,3666,1758,1908,690.678,49.56723683105586,2008
1081,54325,TOTAL,21498,32230,597,135010,66748,68262,4062,68545.0,998.0,61882.0,5665.0,40894.0,22794.0,24966.0,128376.0,6634.0,54016,6695.0,4181.0,7171.0,35969.0,43097,49212,12585,4800,13259,64885,26262,5750,3980,3529,43514,15765,5606,14613,8879,2770,98194,49206,48988,30775,14285,16490,6041,3257,2784,607.536,222.22551420821156,2008
1083,33551,TOTAL,9536,23598,417,78614,39883,38731,3917,37216.0,182.0,34257.0,2777.0,46682.0,24007.0,10158.0,75838.0,2776.0,30028,2006.0,1748.0,3773.0,22501.0,14210,36027,9111,3594,12002,36128,11526,5432,3580,2990,17712,13385,5031,5605,4437,1484,65164,32716,32448,10043,5303,4740,3407,1864,1543,559.936,140.39818836438448,2008
1085,7278,TOTAL,5449,1809,20,11731,5464,6267,106,4915.0,3.0,4202.0,710.0,29714.0,16524.0,3163.0,11696.0,35.0,4205,758.0,436.0,672.0,2339.0,3670,3496,1451,740,2307,5430,1001,929,606,772,2456,2345,629,390,385,226,3020,1481,1539,8566,3919,4647,145,64,81,715.911,16.386115033851976,2008
1087,10877,TOTAL,9450,1396,31,21699,9926,11773,139,9308.0,56.0,7986.0,1266.0,27544.0,16380.0,5141.0,21599.0,100.0,7969,1397.0,771.0,1431.0,4370.0,7949,5637,2762,1567,3134,11013,2861,1044,928,1162,6386,3510,1117,939,1197,725,3269,1641,1628,18038,8109,9929,392,176,216,608.885,35.63727140593051,2008
1089,152899,TOTAL,64117,86965,1817,323080,158503,164577,13034,171163.0,2572.0,154996.0,13595.0,55851.0,29918.0,37679.0,305288.0,17792.0,126564,9164.0,5723.0,13158.0,98519.0,73453,134854,36398,14846,31779,131352,82151,15872,8462,7445,68348,42831,20173,36156,34817,11178,225860,112311,113549,76057,35615,40442,21163,10577,10586,801.593,403.04743180142543,2008
