fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density
13071,13328,TOTAL,3973,9243,112,45987,22765,23222,8155,20115,27,18160,1928,32233,16972,12448,40881.0,5106.0,15893,1810,1783,2784,9516,10021,16896,6038,2439,9862,19676,3898,5129,2418,2315,9435,7034,3207,1923,1371,604,32028,15818,16210,10722,5124,5598,3237,1823,1414,556.637,82.61578012241372
13073,58923,TOTAL,16451,41765,707,132362,64485,67877,7508,65683,2307,58728,4648,68516,30411,12596,123228.0,9134.0,44764,1920,1088,3677,38079,27205,59472,12127,4727,9517,57438,30226,4622,2448,2447,29070,20194,8174,13353,13012,3861,100339,49408,50931,21669,10145,11524,10354,4932,5422,307.605,430.2985972269631
13075,6031,TOTAL,2042,3935,54,17061,8278,8783,1010,7799,23,7053,723,34230,18858,4245,16496.0,565.0,6255,708,485,997,4065,3561,7185,1630,873,3165,7817,1517,1243,1015,907,3733,2781,1303,858,483,176,11794,5810,5984,4692,2179,2513,575,289,286,233.202,73.1597499163815
13077,55555,TOTAL,15168,39653,734,131419,64309,67110,8833,65507,175,60166,5166,61662,27462,17013,123518.0,7901.0,47666,3149,2143,3295,39079,25842,59126,12441,5243,11892,61070,23645,5035,3833,3024,30240,21612,9218,11160,9703,2782,101697,50439,51258,23312,10873,12439,6410,2997,3413,445.831,294.77313152293135
13079,5133,TOTAL,1706,3368,59,12536,6365,6171,135,5759,12,5027,720,41910,21128,2138,12417.0,119.0,4655,502,189,600,3364,2848,5171,1629,585,2054,6660,1065,740,630,684,2596,3050,1014,616,269,180,9282,4704,4578,2845,1440,1405,409,221,188,326.452,38.40074497935378
13081,7396,TOTAL,3167,4182,47,23403,11105,12298,760,10569,0,8797,1772,36280,19455,7261,23026.0,377.0,8574,1330,866,1140,5238,5956,8445,2663,1433,3865,11307,2292,1354,1175,1336,5540,4079,1688,894,998,400,12620,6112,6508,10080,4598,5482,703,395,308,280.95,83.29951948745328
13083,6020,TOTAL,1411,4471,138,16533,8124,8409,330,8381,8,7639,734,44992,21760,2094,16261.0,272.0,6175,527,335,748,4565,3474,7811,1691,809,2397,8943,1816,661,964,772,4673,2852,1418,603,826,387,15843,7785,8058,156,89,67,534,250,284,174.159,94.93049454808538
13085,10244,TOTAL,1241,8847,156,22500,11172,11328,889,10839,45,9728,1066,54457,28138,3498,21733.0,767.0,8277,590,347,814,6526,4333,10750,2345,959,2763,10530,4211,1232,942,589,4672,4032,1826,1281,1700,1230,21315,10586,10729,99,77,22,1086,509,577,214.407,104.94060361835201
13087,10485,TOTAL,4591,5824,70,27508,13399,14109,1488,11122,40,10065,1017,31090,18387,7788,26754.0,754.0,10473,1833,938,1688,6014,7252,9943,2945,1618,4556,13199,2848,2093,1384,1079,6165,4799,2235,1058,1067,723,14574,7183,7391,11426,5433,5993,1508,783,725,623.165,44.14240209254371
13089,306265,TOTAL,238224,64392,3649,707185,337535,369650,65649,385114,557,334438,50119,50799,28971,135640,591781.0,115404.0,264120,22330,12446,27746,201598,236495,215626,86113,26427,67168,275040,196918,39219,15599,12350,150745,91187,33108,104561,69799,22558,250716,124836,125880,380615,174392,206223,75854,38307,37547,271.141,2608.1817209496166
13091,7733,TOTAL,2442,5214,77,21365,11187,10178,741,8762,0,7920,842,34812,17771,3779,20968.0,397.0,8056,1140,753,1025,5138,5858,7999,2538,1275,3486,11182,2119,1159,1295,1032,5549,3933,1700,1099,642,378,14397,7289,7108,6174,3422,2752,794,476,318,503.111,42.46577792972128
13093,4298,TOTAL,2285,1985,28,14443,7959,6484,971,5165,0,4677,488,28251,14411,3451,13909.0,534.0,4957,800,419,988,2750,4338,4486,2155,965,3028,7545,919,1263,919,846,3572,2843,1130,325,435,159,6629,3718,2911,7471,4053,3418,343,188,155,397.282,36.35452902472299
13095,37919,TOTAL,26295,11449,175,93890,43646,50244,2297,41818,293,33905,7620,31458,18770,29285,91744.0,2146.0,35585,6461,2930,5322,20872,31137,25244,12653,4858,14501,44850,10832,6666,4187,3648,24577,14146,6127,4056,4588,2188,27277,13216,14061,63429,29009,34420,3184,1421,1763,334.57,280.62886690378696
13097,55267,TOTAL,28441,26241,585,135037,64837,70200,11740,68104,75,60173,7856,52997,23356,21621,124407.0,10630.0,46708,2789,1963,4574,37382,32277,50836,15822,5405,13002,63210,21664,6354,3576,3072,32060,23163,7987,11898,8030,1736,70973,34986,35987,55739,25918,29821,8325,3933,4392,201.073,671.5819627697404
13099,5353,TOTAL,2765,2557,31,10662,5012,5650,201,4184,0,3834,350,35000,19302,2852,10555.0,107.0,4096,629,306,760,2401,2888,3543,1187,855,1683,5207,1084,533,512,638,2349,1894,964,367,458,259,5108,2442,2666,5343,2470,2873,211,100,111,516.343,20.649064672126862
13101,1102,TOTAL,173,917,12,4018,1907,2111,1141,1920,0,1764,156,32667,17350,1210,3307.0,711.0,1434,120,132,283,899,907,1749,254,217,791,1907,196,468,244,79,1005,607,295,70,83,43,3220,1596,1624,62,29,33,736,282,454,420.718,9.550340132820558
